ID,Species,Family,bt.family,Figures
usnm_071465_Pseudorhombus_pentophthalmus_radiograph_3,Pseudorhombus_pentophthalmus,Paralichthyidae2,Paralichthyidae,P. pen
usnm_071960_Eopsetta_grigorjewi_radiograph,Eopsetta_grigorjewi,Pleuronectidae,Pleuronectidae,E. gri
usnm_071961_Protopsetta_herzensteini_radiograph,Protopsetta_herzensteini,Pleuronectidae,Pleuronectidae,Pr. her
usnm_071995_Protopsetta_herzensteini_radiograph,Protopsetta_herzensteini,Pleuronectidae,Pleuronectidae,Pr. her
usnm_071997_Kareius_bicoloratus_radiograph_1,Kareius_bicoloratus,Pleuronectidae,Pleuronectidae,K. bic
usnm_071997_Kareius_bicoloratus_radiograph_2,Kareius_bicoloratus,Pleuronectidae,Pleuronectidae,K. bic
usnm_076430_Lepidopsetta_bilineata_radiograph_1,Lepidopsetta_bilineata,Pleuronectidae,Pleuronectidae,L. bil
usnm_076430_Lepidopsetta_bilineata_radiograph_2,Lepidopsetta_bilineata,Pleuronectidae,Pleuronectidae,L. bil
usnm_076430_Lepidopsetta_bilineata_radiograph_3,Lepidopsetta_bilineata,Pleuronectidae,Pleuronectidae,L. bil
usnm_076657_Liachirus_melanospilus_radiograph_1,Liachirus_melanospilus,Soleidae,Soleidae,L. mel
usnm_077059_Hippoglossoides_dubius_radiograph_1,Hippoglossoides_dubius,Pleuronectidae,Pleuronectidae,H. dub
usnm_077061_Hippoglossoides_dubius_radiograph,Hippoglossoides_dubius,Pleuronectidae,Pleuronectidae,H. dub
usnm_077061_Hippoglossoides_dubius_radiograph_1,Hippoglossoides_dubius,Pleuronectidae,Pleuronectidae,H. dub
usnm_077071_Tarphops_oligolepis_radiograph,Tarphops_oligolepis,Paralichthyidae2,Paralichthyidae,T. oli
usnm_077081_Eopsetta_grigorjewi_radiograph,Eopsetta_grigorjewi,Pleuronectidae,Pleuronectidae,E. gri
usnm_077083_Eopsetta_grigorjewi_radiograph,Eopsetta_grigorjewi,Pleuronectidae,Pleuronectidae,E. gri
usnm_77089_Cleisthenes_pinetorum_radiograph,Cleisthenes_pinetorum,Pleuronectidae,Pleuronectidae,C. pin
usnm_00077093_Cleisthenes_herzensteini_radiograph,Cleisthenes_herzensteini,Pleuronectidae,Pleuronectidae,C. her
usnm_00077095_Cleisthenes_herzensteini_radiograph,Cleisthenes_herzensteini,Pleuronectidae,Pleuronectidae,C. her
usnm_00077097_Cleisthenes_herzensteini_radiograph,Cleisthenes_herzensteini,Pleuronectidae,Pleuronectidae,C. her
usnm_077114_Acanthopsetta_nadeshnyi_radiograph,Acanthopsetta_nadeshnyi,Pleuronectidae,Pleuronectidae,A. nad
usnm_077118_Acanthopsetta_nadeshnyi_radiograph,Acanthopsetta_nadeshnyi,Pleuronectidae,Pleuronectidae,A. nad
usnm_77123_Acanthopsetta_nadeshnyi_radiograph_5010,Acanthopsetta_nadeshnyi,Pleuronectidae,Pleuronectidae,A. nad
usnm_077162_Tanakius_kitaharai_radiograph,Tanakius_kitaharae,Pleuronectidae,Pleuronectidae,T. kit
usnm_077165_Tanakius_kitaharai_radiograph,Tanakius_kitaharae,Pleuronectidae,Pleuronectidae,T. kit
usnm_077165_Tanakius_kitaharai_radiograph_1,Tanakius_kitaharae,Pleuronectidae,Pleuronectidae,T. kit
usnm_077181_Limanda_angustirostris_radiograph,Pseudopleuronectes_herzensteini,Pleuronectidae,Pleuronectidae,Ps. her
usnm_077182_Limanda_angustirostris_radiograph_1,Pseudopleuronectes_herzensteini,Pleuronectidae,Pleuronectidae,Ps. her
usnm_077182_Limanda_angustirostris_radiograph_2,Pseudopleuronectes_herzensteini,Pleuronectidae,Pleuronectidae,Ps. her
usnm_077182_Limanda_angustirostris_radiograph_3,Pseudopleuronectes_herzensteini,Pleuronectidae,Pleuronectidae,Ps. her
